ligne;lettre_station;station;facilite_acces_code;facilite_acces;nombre_facilite_acces_station
;A;Abbesses;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;A;Adrienne Bolland;green;très facile d'accès (ascenseur ou plain-pied);1
;A;Aimé Césaire;black;facile d'accès, équipée d'escalator ou ascenseur sur tout le parcours entre la rue et le quai;1
;A;Alésia;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;A;Alexandra David-Néel;green;très facile d'accès (ascenseur ou plain-pied);1
;A;Alexandre Dumas;grey;comportant uniquement des escaliers et profonde;1
;A;Alma Marceau;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;A;Anatole France;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;A;Angélique Compoint - Porte de Montmartre;green;très facile d'accès (ascenseur ou plain-pied);1
;A;Anna de Noailles​;green;très facile d'accès (ascenseur ou plain-pied);1
;A;Anny Flore;green;très facile d'accès (ascenseur ou plain-pied);1
;A;Anvers;white;comportant uniquement des escaliers et peu profonde;1
;A;Arcueil - Cachan;green;très facile d'accès (ascenseur ou plain-pied);1
;A;Argentine;white;comportant uniquement des escaliers et peu profonde;1
METRO 3;A;Arts et Métiers;white;comportant uniquement des escaliers et peu profonde;2
METRO 11;A;Arts et Métiers;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
;A;Asnières - Gennevilliers - Les Courtilles;green;très facile d'accès (ascenseur ou plain-pied);1
;A;Quatre Routes;green;très facile d'accès (ascenseur ou plain-pied);1
;A;Asnières-sur-Seine;green;très facile d'accès (ascenseur ou plain-pied);1
;A;Assemblée Nationale;white;comportant uniquement des escaliers et peu profonde;1
;A;Auber;green;très facile d'accès (ascenseur ou plain-pied);1
;A;Front Populaire;black;facile d'accès, équipée d'escalator ou ascenseur sur tout le parcours entre la rue et le quai;1
;A;Aubervilliers - Pantin - Quatre Chemins;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;A;Auguste Delaune;green;très facile d'accès (ascenseur ou plain-pied);1
;A;Avenue de France;green;très facile d'accès (ascenseur ou plain-pied);1
;A;Avenue du Président Kennedy Maison de Radio France;white;comportant uniquement des escaliers et peu profonde;1
;A;Avenue Émile Zola;white;comportant uniquement des escaliers et peu profonde;1
;A;Avenue Foch;white;comportant uniquement des escaliers et peu profonde;1
;A;Avenue Henri Martin;white;comportant uniquement des escaliers et peu profonde;1
;A;Avron;grey;comportant uniquement des escaliers et profonde;1
METRO 4;B;Bagneux - Lucie Aubrac;black;facile d'accès, équipée d'escalator ou ascenseur sur tout le parcours entre la rue et le quai;2
METRO 15;B;Bagneux - Lucie Aubrac;green;très facile d'accès (ascenseur ou plain-pied);2
TRAM 3a;B;Balard;green;très facile d'accès (ascenseur ou plain-pied);2
